element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,playername,web_name,position
277,21,1,0,FALSE,2023-08-26T14:00:00Z,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-3514,49534,1500,5014,Kevin Mbabu,Mbabu,DEF
277,39,13,0,FALSE,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-3546,46832,923,4469,Kevin Mbabu,Mbabu,DEF
278,5,9,1,FALSE,2023-08-12T14:00:00Z,0,1,1,32,0,0,0,0,0,0,0,0,0,0,0,6,6.4,0.3,26.0,3.3,0,0.16,0.02,0.18,0.60,75,0,364552,0,0,Aleksandar Mitrović,Mitrović,FWD
278,13,4,0,TRUE,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,75,-90313,315027,15405,105718,Aleksandar Mitrović,Mitrović,FWD
278,21,1,0,FALSE,2023-08-26T14:00:00Z,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,74,-171827,143824,148,171975,Aleksandar Mitrović,Mitrović,FWD
278,39,13,0,FALSE,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,74,-41113,106881,0,41113,Aleksandar Mitrović,Mitrović,FWD
279,5,9,0,FALSE,2023-08-12T14:00:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,41896,0,0,Rodrigo Muniz Carvalho,Muniz,FWD
279,13,4,1,TRUE,2023-08-19T14:00:00Z,0,3,2,4,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,1.27,45,-3849,42124,1589,5438,Rodrigo Muniz Carvalho,Muniz,FWD
279,21,1,0,FALSE,2023-08-26T14:00:00Z,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-4107,39057,1208,5315,Rodrigo Muniz Carvalho,Muniz,FWD
279,39,13,1,FALSE,2023-09-02T14:00:00Z,5,1,4,9,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.5,4.0,0.5,0,0.00,0.03,0.03,0.19,44,-795,39433,3715,4510,Rodrigo Muniz Carvalho,Muniz,FWD
280,5,9,0,FALSE,2023-08-12T14:00:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,0,14930,0,0,João Palhinha Gonçalves,J.Palhinha,MID
280,13,4,0,TRUE,2023-08-19T14:00:00Z,0,3,2,23,0,0,0,1,0,0,0,1,0,0,0,0,3.4,1.2,0.0,0.5,0,0.00,0.01,0.01,1.87,50,-3883,11372,159,4042,João Palhinha Gonçalves,J.Palhinha,MID
